time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/learning_rate,train/std,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1,12288,2,52.7,-14.49957988,6031,,,,,,,,,,,,,
2,24576,4,53.34,-7.72375882,5662,0.2,-11.013779131571452,0.3156072795391083,0.1471435546875,0.000244704,0.6051204204559326,-0.019824452496444187,0.013055275,0.9600155035654704,10,-0.04679727554321289,,
,30000,,,,,0.2,-10.987071228027343,0.26022869348526,0.10808919270833334,0.000189408,0.603804349899292,-0.01599589774850756,0.012651846,0.6688144067923228,20,0.5734615325927734,1786.1255864,1000.0
3,36864,10,56.72,3.20942331,3569,,,,,,,,,,,,,
4,49152,12,58.01,1.3957474900000002,3983,0.2,-10.96580006281535,0.24189448356628418,0.0974609375,0.000134112,0.6029487252235413,-0.01581096026736001,0.012782025,0.6058119396368663,30,0.6449308395385742,,
,60000,,,,,0.2,-10.950000699361166,0.24841924011707306,0.054646809895833336,7.8816e-05,0.6022928953170776,-0.012881824610910067,0.011318415,0.5962421377499898,40,0.6542354822158813,857.079155,463.8
5,61440,16,59.96,10.334528439999996,3794,,,,,,,,,,,,,
