time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
325,47,15450,61.62,252,22.72615031,5445,-67.1996856689453,-18.78907470703125,0.21443965137004853,11.81766357421875,0.0003,,
317,49,15675,62.36,256,28.821085749999998,5670,-66.49570770263672,-19.644978713989257,0.2025381237268448,12.071695137023926,0.0003,,
311,51,15885,62.79,260,34.08249135,5880,-67.90037231445312,-18.374335098266602,0.19223081469535827,12.164508628845216,0.0003,,
300,53,16220,63.25,264,39.50389578,6215,-69.8404754638672,-18.390718078613283,0.1770854502916336,12.143973922729492,0.0003,,
293,56,16510,63.79,268,44.66549010999999,6505,-71.03363647460938,-19.19786834716797,0.16512238681316377,12.880420303344726,0.0003,,
288,58,16740,64.41,272,49.9212767,6735,-71.52348327636719,-17.343892669677736,0.15608942806720733,13.446212196350098,0.0003,,
281,60,17030,64.78,276,54.735067529999995,7025,-72.60955047607422,-17.019445419311523,0.14545897841453553,14.275348281860351,0.0003,,
277,61,17210,64.55,280,58.63900042,7205,-70.84728546142578,-16.371200561523438,0.13945256769657136,14.80537815093994,0.0003,,
273,63,17400,64.21,284,62.60993358000002,7395,-70.92317199707031,-16.972749710083008,0.13329083025455474,14.56275291442871,0.0003,,
267,66,17700,64.57,288,66.0466754,7695,-73.88698120117188,-16.666160583496094,0.12429185360670089,14.25666618347168,0.0003,,
263,67,17920,64.96,292,70.08381295,7915,-73.91877899169921,-13.297100830078126,0.11820596307516099,14.642400932312011,0.0003,,
260,69,18170,64.96,296,73.27221426000001,8165,-76.74453125,-13.846518325805665,0.1118561640381813,14.734736251831055,0.0003,,
255,72,18460,65.3,300,75.17294719,8455,-74.52016754150391,-11.111546516418457,0.1051878347992897,15.185128784179687,0.0003,,
252,73,18685,65.46,304,77.60442775,8680,-76.13434143066407,-13.711330032348632,0.10039214044809341,15.807508659362792,0.0003,,
248,76,18970,65.92,308,80.19599585,8965,-78.20417938232421,-12.852620315551757,0.09477610737085343,15.249494171142578,0.0003,,
244,78,19280,65.95,312,79.1218971,9275,-77.88417053222656,-11.05259838104248,0.08898795992136002,13.593574905395508,0.0003,,
240,81,19645,65.94,316,80.71564702999999,9640,-79.5539321899414,-9.530744552612305,0.0826662763953209,13.408564567565918,0.0003,,
236,84,19935,65.6,320,82.38813026999998,9930,-80.26621551513672,-8.714329528808594,0.07816961109638214,14.317097473144532,0.0003,,
234,85,20145,66.32,324,81.92915037,10140,-81.61397857666016,-8.519588470458984,0.07502470165491104,13.744710922241211,0.0003,,
231,88,20450,66.41,328,81.61970345,10445,-82.03986358642578,-8.122372245788574,0.070626662671566,14.317220687866211,0.0003,,
228,90,20725,65.6,332,82.42526558,10720,-82.0341796875,-8.152454280853272,0.06684269607067109,13.486666488647462,0.0003,,
226,92,20945,65.63,336,79.5976356,10940,-81.1041763305664,-8.18299903869629,0.06406183689832687,13.851410865783691,0.0003,,
223,95,21255,65.86,340,78.35162239,11250,-79.30383758544922,-6.470281505584717,0.06060672849416733,14.219847106933594,0.0003,,
220,98,21615,67.04,344,79.10054155,11610,-80.14517211914062,-4.755205869674683,0.05672055259346962,14.807681274414062,0.0003,,
218,99,21850,67.38,348,78.96845259,11845,-82.13392486572266,-3.9196612358093263,0.05451900959014892,14.014511680603027,0.0003,,
216,101,22090,67.5,352,77.4578055,12085,-81.03399658203125,-4.587867355346679,0.052319930493831636,14.988862609863281,0.0003,,
214,103,22335,66.77,356,72.57324405000001,12330,-81.25908813476562,-4.603615856170654,0.050141891837120055,15.570401191711426,0.0003,,
212,106,22625,66.69,360,68.82063003999998,12620,-80.5310272216797,-5.189535808563233,0.04784652516245842,14.425527763366699,0.0003,,
210,109,22970,66.79,364,67.29592184,12965,-81.05601043701172,-2.5162033081054687,0.04546634256839752,14.26293487548828,0.0003,,
208,111,23235,67.03,368,67.50644736999999,13230,-80.09564819335938,-2.7808290243148805,0.04349109977483749,14.453421592712402,0.0003,,
205,114,23565,67.23,372,67.39307848,13560,-81.59620208740235,-1.6667506992816925,0.04175457581877708,15.567148780822754,0.0003,,
204,115,23700,67.46,376,68.71185427999998,13695,-80.73813018798828,-2.9135376691818236,0.04113099351525307,16.08172435760498,0.0003,,
203,117,23955,67.45,380,68.53364962999999,13950,-81.05655670166016,-0.31519004702568054,0.04043538272380829,16.110009574890135,0.0003,,
201,120,24260,67.65,384,68.75470616000001,14255,-81.47984771728515,1.0113120079040527,0.040170011669397356,15.149871253967286,0.0003,,
199,123,24590,67.71,388,69.34829677,14585,-80.63840789794922,-1.4640930891036987,0.04034044817090034,15.959622383117676,0.0003,,
198,124,24725,68.03,392,69.81852266,14720,-81.96243438720703,0.8540026307106018,0.04023437052965164,15.450429153442382,0.0003,,
196,127,25090,68.53,396,70.74764696,15085,-80.09760894775391,0.6386836409568787,0.04048515483736992,15.954327011108399,0.0003,,
195,128,25245,68.62,400,71.73468622,15240,-80.51207122802734,0.11719967126846313,0.04056271463632584,16.206327819824217,0.0003,,
194,131,25525,68.24,404,71.48383396,15520,-81.87273712158203,-0.16604323387145997,0.04117245078086853,14.890856742858887,0.0003,,
192,134,25910,68.75,408,72.36612005,15905,-81.9733169555664,-1.89832284450531,0.040582920610904696,15.811363029479981,0.0003,,
191,136,26210,69.54,412,72.81405746000001,16205,-81.5699462890625,-0.18895813226699829,0.04071637317538261,15.49099941253662,0.0003,,
189,140,26655,70.48,416,73.50083889000001,16650,-81.46956481933594,0.3013752341270447,0.04010573253035545,15.402360916137695,0.0003,,
188,143,27035,71.33,420,71.0500926,17030,-81.87925567626954,-1.1677302241325378,0.03985108584165573,15.354819869995117,0.0003,,
186,147,27465,72.51,424,70.19180855,17460,-81.9614273071289,0.09384492635726929,0.038619964569807055,15.980317115783691,0.0003,,
184,151,27945,73.46,428,72.53943113,17940,-83.20782775878907,-0.4934141576290131,0.03865419626235962,14.104940795898438,0.0003,,
183,154,28325,75.39,432,73.20236200000001,18320,-81.19916229248047,0.4593067288398743,0.03822897970676422,14.714104080200196,0.0003,,
182,156,28555,75.69,436,75.85875502,18550,-80.99999084472657,0.5799476504325867,0.03741115778684616,14.568426704406738,0.0003,,
182,158,28835,75.17,440,76.43138049999999,18830,-81.24957122802735,-0.8710517883300781,0.03723098859190941,14.804574966430664,0.0003,,
181,160,29100,74.93,444,76.92238979,19095,-82.4818359375,1.770464015007019,0.03710003197193146,14.9927490234375,0.0003,,
181,161,29250,74.41,448,77.23723847000001,19245,-80.37274780273438,1.2061366498470307,0.03726644739508629,15.617794036865234,0.0003,,
180,163,29545,74.52,452,79.58973708,19540,-82.47017822265624,-0.1890227437019348,0.03679597973823547,14.349683952331542,0.0003,,
179,166,29845,74.73,456,82.87342668,19840,-80.43444519042968,-1.0227720141410828,0.03706434816122055,15.000363731384278,0.0003,,
178,168,30135,74.7,460,85.55065414999999,20130,-81.4946075439453,-1.3985941410064697,0.03687323406338692,15.88590965270996,0.0003,,
178,170,30270,74.52,464,86.72831975,20265,-80.89069213867188,0.00038019418716430666,0.036929377168416974,16.257036209106445,0.0003,,
177,172,30565,74.17,468,86.53856976000003,20560,-81.4367904663086,-1.3878180474042892,0.03712125271558762,14.451782989501954,0.0003,,
175,176,31000,74.12,472,86.37067721,20995,-81.26677856445312,0.19211409687995912,0.03647658526897431,15.442387962341309,0.0003,,
174,179,31380,75.29,476,86.62177416000003,21375,-82.32539825439453,-0.41232073307037354,0.03649856746196747,14.915999221801759,0.0003,,
174,181,31560,75.78,480,86.30396418000001,21555,-81.55408172607422,0.33508589267730715,0.03666580989956856,15.336249351501465,0.0003,,
173,184,31925,76.63,484,85.22432300999999,21920,-81.16575775146484,0.7436496913433075,0.03607192635536194,15.24179916381836,0.0003,,
172,188,32415,78.3,488,84.98763310000002,22410,-80.64890747070312,-1.3457754850387573,0.03539313301444054,15.505075073242187,0.0003,,
