#{"t_start": 1783132137.1589944, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_ctrl,rc_action_rate,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist
-15.818144,54,1.580998,54.0,-53.07793294236464,14.956342878520832,17.80500061960364,-3.589747418165207,-17.532655584812165,-6.976757140388022,-19.349261247598207,-2.0531329925690325,-0.3699261276278514,-0.3995202178380795
-1.934352,57,1.686044,57.0,-35.580910655274735,15.491795275203897,17.75209886187897,-4.328529410362244,-19.92819001674652,-5.678808171677719,-24.293545495755406,-2.3682625405183035,-0.27944286297029447,-0.31856486378613574
-26.865265,53,1.782947,53.0,-61.69021239534871,14.375988269449776,16.25539172925637,-3.928850128650666,-20.790798032283785,-8.29536462907849,-14.057368515299279,-1.7340510261071491,-0.43222259436483995,-0.4581559500267304
31.754561,61,1.891384,61.0,-23.170329679248294,19.307489924130717,19.538260694079362,-4.310180923938752,-21.54197381734848,-1.9015538071035205,-14.901664969384234,-2.265485978266045,-0.3048913364889855,-0.3719674305165623
-16.051875,50,1.98031,50.0,-40.14486129847181,13.34317424718942,15.087728277529024,-3.783218960762025,-19.09215511083603,-5.303977200616554,-24.434185435985686,-1.7243791319955188,-0.30425556866170395,-0.30425556866170395
-22.18696,42,2.057144,42.0,-32.74367401760362,10.878424005898614,13.049308182508861,-3.121926751136779,-16.928104758262634,-5.494079820449707,-28.130472513114817,-1.696433974894983,-0.36694250720832755,-0.3082317060549951
-20.290245,44,2.138576,44.0,-40.29099282933142,13.33553286372263,14.562722875208538,-3.049029452800751,-15.688731729984285,-4.214854928303881,-26.985532966189034,-1.959359310977263,-0.4139851946121117,-0.3643069712586583
-35.672607,51,2.232314,51.0,-59.689265077015335,13.858590120430557,15.003626534993808,-3.8060919547081005,-17.49143995046615,-7.441117894389228,-25.160960435262773,-1.9459478841055111,-0.4453408654661433,-0.4542476827754662
-24.268012,64,2.346226,64.0,-54.18607372926267,17.330033890628776,19.984813737947345,-4.878136892318727,-24.124145877361297,-7.496298841735082,-32.16207620613043,-2.7361276314078875,-0.3268591757895124,-0.4183797450105759
-9.305234,50,2.434691,50.0,-39.96707096254681,13.656318629430105,14.927896398579996,-3.7294504582881927,-18.511423242092132,-4.569558697615922,-19.271004162808058,-1.8409415091078272,-0.3770143075826532,-0.3770143075826532
9.702393,56,2.531219,56.0,-23.1873044311153,16.0884800250756,17.74412093274344,-4.132612068653105,-20.185747170448295,-3.953906792186702,-26.81046395306122,-1.8601737201329007,-0.14404754974805872,-0.16133325571782578
-17.433501,45,2.611927,45.0,-40.246011650978154,11.315283599886422,13.971983659856177,-3.358921139240266,-16.50674260854721,-5.00762439333413,-21.14259887203241,-1.458870094073808,-0.4191138550795237,-0.37720246957157133
-39.555842,51,2.704035,51.0,-63.65945231704045,14.434794855810168,16.004864653547568,-3.749143185615539,-18.42060545682907,-6.8857998464473535,-26.223806506623145,-2.0566939472405275,-0.5009953865302601,-0.5110152942608653
-19.976565,56,2.806338,56.0,-45.3376966219176,14.925007602855517,16.804916710329163,-3.6835737323760993,-18.819194191694265,-6.922890861190373,-31.217124719682676,-1.7260096444697057,-0.35006383120826184,-0.39207149095325333
-25.576391,52,2.901463,52.0,-52.717407658971204,14.131640297357354,16.266505883433656,-3.630425078868865,-17.707027721405026,-7.0973468116141465,-24.7266429440248,-2.0956868203231998,-0.3995136110197094,-0.4154941554604978
-18.740501,46,2.985029,46.0,-40.98769081768762,12.716754803837416,14.982983867407182,-3.6689266109466563,-18.358891797065738,-5.610220159603569,-22.057838571436086,-1.7566715746164159,-0.3359320970039316,-0.3090575292436171
-8.642024,53,3.082335,53.0,-36.97867801491096,15.279443356431008,16.587164471273493,-3.795159595012665,-19.757882010936733,-4.050061940767277,-26.765314787808993,-2.161535022350959,-0.2896237721791146,-0.3070011985098615
-1.177884,53,3.180438,53.0,-28.239730782420096,14.778669851090184,16.959017050270678,-3.9109035730361943,-19.831495833396918,-4.619611872357921,-27.351738165776645,-1.9620904838464486,-0.2202620574200528,-0.233477780865256
-3.586849,62,3.295784,62.0,-41.709726434837556,17.813565002632828,20.705761758982987,-4.366331901550293,-20.239813375473016,-4.825800766337296,-30.627840634010216,-2.336662275767809,-0.3068632688594147,-0.3805104533856742
-25.884108,40,3.814541,40.0,-40.259337067617786,12.171777091876878,12.692400984563879,-2.921201426982879,-13.75713539123535,-3.7033153237666885,-28.460682463951073,-1.6466146408394002,-0.41390108992102054,-0.33112087193681644
3.093955,63,3.926461,63.0,-39.34022042722333,19.64180611244222,19.904400853364148,-4.82462239742279,-23.436922466754915,-4.380229507323943,-24.785008906559305,-2.6852481001696016,-0.1498668679345521,-0.18883225359753564
-21.052842,47,4.011259,47.0,-41.23192910860694,14.022327851495577,15.674347019799207,-3.551379323005676,-16.716959273815156,-4.419576386942818,-30.099901876667648,-1.729770513773948,-0.33984830044264014,-0.3194574024160817
-10.394825,66,4.12858,66.0,-48.86867780952939,19.948348813904964,21.97866854180006,-4.846547832489016,-25.42936313152314,-6.600560379672437,-30.07518231507052,-2.5015108418603185,-0.3051292085306117,-0.4027705552604075
13.220022,63,4.240014,63.0,-22.763049107134197,18.2780449008808,19.699488238300457,-4.613065099716189,-22.554992723464967,-3.236468449959541,-32.2938727511424,-2.2960628688326152,-0.1528160298498266,-0.1925481976107815
