#{"t_start": 1783132137.3512142, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_ctrl,rc_action_rate,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist
-25.423209,57,1.394979,57.0,-59.39461226045607,17.034543807090227,17.646799488870144,-4.099331351518631,-19.126840913295744,-6.445916239272544,-25.986803689850813,-2.0510474700425365,-0.2590698537816958,-0.2953396333111332
-5.245932,51,1.48848,51.0,-30.389763674114004,12.58164458212806,14.987907247386827,-3.6382515287399277,-18.995295286178585,-4.384755891524287,-24.317432951542504,-2.0899843491421004,-0.2589404128031297,-0.2641192210591923
-35.669425,49,1.578007,49.0,-63.79606796275066,11.682330184527043,14.671136555171763,-3.380631849765779,-16.922155141830448,-8.460721166212757,-16.716620796398004,-1.7466945501489257,-0.5097471296294586,-0.4995521870368694
2.110403,66,1.69527,66.0,-31.305536518459345,18.442538071454134,20.286548792105368,-4.775609726905821,-23.037955951690673,-3.670724312960453,-36.80657744055953,-3.022279992649389,-0.3262172849542878,-0.43060681613965995
-37.328122,54,1.791788,54.0,-67.49668617940084,15.093762051025328,17.416427599812963,-3.828882122039794,-18.995981323719022,-8.860133594788783,-22.686341897569175,-1.9702870187172532,-0.4916706198897061,-0.5310042694808826
-25.251466,43,1.872429,43.0,-38.771279893465,10.438787003007622,12.645887582578306,-3.113576364517212,-16.531967294216155,-6.299761988068683,-24.98999453958074,-1.6295603370298932,-0.388334357141179,-0.3339675471414139
-10.83882,37,1.939204,37.0,-24.022963216390455,9.956181175430224,10.852207544505749,-2.8125567078590388,-13.14159103631973,-3.7419627366972534,-23.132445868869883,-1.7956888095831967,-0.2555087214766353,-0.1890764538927101
4.649642,36,2.005669,36.0,-15.70821450370971,8.76519541629824,11.346222932744304,-2.790068459510803,-12.246537536382673,-3.2291982418611145,-15.613507842417663,-1.8742500739105457,-0.23570732889194063,-0.16970927680219725
-12.077278,62,2.116779,62.0,-45.36247232998359,16.41635982214355,19.611482186591722,-4.093602664470672,-20.486490297317506,-5.38789249787269,-32.51678413621558,-2.2578780034207058,-0.27405580818417274,-0.3398292021483742
-6.952903,46,2.19894,46.0,-33.84886499118827,13.030059669380625,14.426020693818346,-3.66700824022293,-18.08659506440163,-3.9634231298397262,-18.894098277846084,-1.9489931903993138,-0.3757283979732052,-0.34567012613534875
1.125652,71,2.321318,71.0,-49.52871926595458,21.16737449831321,22.169210167289204,-5.367175101041795,-26.138895511627197,-5.937552130791442,-23.452604011044407,-2.7859868450985275,-0.28428211164345657,-0.4036805985337083
-19.373375,42,2.395549,42.0,-32.57455587671788,10.421446492262222,11.563042578868641,-3.214752905368805,-16.168073320388793,-4.527042719238629,-25.529707810622554,-1.3437315551093982,-0.2629624297570807,-0.22088844099594776
-4.229991,49,2.482751,49.0,-29.948158813632936,13.349635800102186,15.259513207759284,-3.772675659656526,-17.915792071819308,-4.0414869684531585,-24.143711374659322,-2.0173147569078336,-0.29875330497732877,-0.2927782388777822
-8.560391,59,2.590662,59.0,-41.84503966387544,15.795474638053644,17.640071810622498,-4.279747371673583,-20.21553437709808,-6.239939142907397,-25.918384630913565,-2.4972926653614667,-0.34233905276637505,-0.40396008226432256
-10.485673,42,2.669743,42.0,-32.02125156916647,10.313911183209044,12.78759988262118,-2.9123600053787233,-15.14982397556305,-5.2410104452662925,-18.834603430238555,-1.4281341526147993,-0.33878261946128363,-0.28457740034747825
-26.174625,47,2.754977,47.0,-46.34051036705502,12.10991672675377,13.913518118331393,-3.551790714263915,-19.01170395612717,-5.3906166366634345,-23.295288986345582,-1.6081490794796907,-0.36596679330732296,-0.3440087857088836
-21.873217,57,2.85894,57.0,-39.21894761411663,16.07929378960921,17.32920944738649,-4.3286640954017646,-21.425321173667903,-4.394135225270751,-40.42592812076801,-2.488724481818659,-0.39205052769893467,-0.4469376015767856
-31.814698,45,2.940904,45.0,-47.30611369274518,11.191292465420798,12.941165563053337,-3.5285681772232067,-18.15421019792557,-6.720515680240976,-23.721572033170546,-1.516175749556278,-0.40404780050970124,-0.36364302045873115
-16.678891,46,3.027108,46.0,-41.76943275253564,12.919025987066048,14.873508022105272,-3.463133630752562,-16.055067944526677,-4.40909389694839,-23.047921096444718,-1.726775960757799,-0.36106767448800037,-0.3321822605289603
-40.324856,46,3.112452,46.0,-54.85031949949175,12.198045466257422,13.729764350229448,-3.3957312798500063,-16.804267394542695,-8.625099576274147,-26.62691419711014,-1.9503340811871546,-0.3366846755883841,-0.3097499015413134
-33.579871,43,3.636341,43.0,-46.07660415031039,10.283780851338316,12.552913813969772,-3.316928310394287,-16.58732831478119,-4.753290297120083,-26.961218130873135,-1.7211967707209583,-0.43108712935535753,-0.37073493124560747
15.652253,56,3.73613,56.0,-18.018014879779503,16.06021607706889,17.19944822471214,-3.894327605962753,-18.85051398277283,-2.084098197784827,-28.598029085351946,-2.1624273294609186,-0.21219549108433708,-0.23765895001445755
-32.492242,53,3.831434,53.0,-44.88028754653761,14.8869034968956,16.982189325572982,-3.770675654411315,-19.594425380229946,-7.293770546645411,-40.03618330525199,-1.785992462078705,-0.2844479206340779,-0.3015147958721226
-6.604742,44,3.909924,44.0,-28.44557689746122,10.914597562013583,13.57745254556651,-3.5683970308303845,-16.26399696469307,-3.097542446488474,-21.842828942478175,-1.8784498592336705,-0.35786914868091085,-0.3149248508392016
10.415321,70,4.033901,70.0,-27.179116475913514,22.180997582677286,23.863676864049275,-5.265065786838533,-25.008203363418573,-5.0461738412651895,-40.53123034116639,-2.599563960043359,-0.19728353680454902,-0.27619695152636864
22.341779,54,4.131509,54.0,-11.075934115250366,15.866205920809612,16.753880619830117,-3.82059665441513,-19.83753513097763,-1.9900627140334621,-25.287178745489815,-2.2670002317788076,-0.21308605534618283,-0.23013293977387747
-19.348328,52,4.225551,52.0,-48.79950881006903,14.430049456645996,16.572857940048486,-3.709445533752441,-19.777861726284026,-4.55200486601487,-23.524033385527233,-1.988380601499862,-0.3749320897137197,-0.3899293733022685
-12.294981,53,4.322433,53.0,-40.70540304278581,13.813152334393086,16.207227876239042,-3.740522621870041,-17.944055020809174,-6.673129644513518,-24.341101735617034,-1.911149476645611,-0.3639040684481742,-0.3857383125550647
17.557142,53,4.416203,53.0,-25.895983376763677,16.779550047046197,16.362670768409266,-3.974888942241668,-19.240221631526946,-2.5181113776332085,-15.112956367927758,-1.842916750794392,-0.2481461234028034,-0.2630348908069716
-15.073055,37,4.480655,37.0,-30.169299681695225,10.875257171526583,12.686866321117428,-2.769388403892518,-13.762466549873352,-2.306929332851206,-25.1981593072914,-1.42893472720945,-0.31201509785107473,-0.2308911724097953
-11.38666,58,4.588386,58.0,-54.081663845226466,16.79761598434204,18.407398757315647,-3.942611536979674,-20.389311408996583,-6.5778590444348115,-17.54304162548787,-2.057187083819856,-0.3716428203213912,-0.43110567157281376
-19.823407,38,4.659297,38.0,-31.693375523607493,9.273423129989574,11.836992100875518,-2.6441778826713556,-12.548976296186446,-5.275738025477971,-25.156983508970875,-1.6145709768252274,-0.30898477184071116,-0.2348284265989405
-19.244982,58,4.762759,58.0,-46.413512119367695,16.574869292623838,17.539597846781355,-4.3511436700820925,-21.043108808994297,-5.495419989935787,-31.860384728724842,-2.1958797432038906,-0.31361031217591895,-0.36378796212406594
-36.376963,50,4.857907,50.0,-61.439515105731175,14.54863224834285,16.07191131336965,-3.56907804965973,-18.12964977025986,-7.6852265568217994,-24.18040173840356,-1.9936354064196251,-0.47123574981111094,-0.47123574981111094
-22.156954,42,4.935167,42.0,-42.28607243108241,9.038192736650547,12.169198546740738,-3.1137103581428534,-14.089108729362486,-4.749254940726696,-19.52604869687317,-1.6001497246781078,-0.3491318425501435,-0.29327074774212053
-25.508598,47,5.027469,47.0,-45.83991472803708,10.659699367004865,12.961831679900778,-3.789827055931091,-18.51390001773834,-5.6255471598181295,-20.563467167232446,-1.7974729685421316,-0.3752664960687568,-0.3527505063046314
-35.2423,54,5.121639,54.0,-58.90469153799926,16.29327045678937,16.872127776470798,-4.126553690433502,-19.228955030441284,-6.056759186275355,-31.880074596595083,-2.2106645035235615,-0.46567930158070225,-0.5029336457071585
1.064057,49,5.208873,49.0,-27.457615209569987,13.760411848377817,15.223643097536915,-3.459051735401152,-17.377002191543575,-2.751939703461416,-24.007845422238663,-1.8665436732850087,-0.2647370392829542,-0.2594422984972951
8.126367,48,5.295278,48.0,-22.189680760307702,13.3066910342111,14.782585424805049,-3.722833743095398,-19.431425404548644,-2.240021788837706,-18.646948418532492,-1.731999476060584,-0.37919391316314666,-0.3640261566366208
-3.920276,54,5.393181,54.0,-39.8195106845886,14.864852179146132,16.492153767424423,-4.2388236260414125,-22.259645259380342,-3.7064229368149464,-17.528052468300167,-1.7248271731228997,-0.29928976310055205,-0.3232329441485962
5.243918,56,5.616826,56.0,-31.729433187107364,15.748280140662638,17.753456850363715,-4.090524621009828,-20.841326156258575,-3.843384872929139,-21.690417358356218,-2.062732821422486,-0.2568706478598227,-0.2876951256030015
-7.067695,54,5.716472,54.0,-38.58542063596982,14.419789812027602,17.09267479852699,-4.2406274926662455,-20.75949462652207,-6.075160226309845,-20.982012183134817,-1.9374442933499145,-0.2949920489033334,-0.3185914128156001
-7.10628,48,5.804525,48.0,-33.213345984469306,12.478158722750067,15.275831113158167,-3.367066948413848,-15.361145377159122,-3.763282046732312,-25.397241236099035,-1.7581880562834122,-0.30043008519364905,-0.2884128817859031
-14.909395,48,5.891449,48.0,-37.66330426255412,12.858363394356108,14.786486207536816,-3.4141862320899956,-15.846907937526703,-5.03533637045147,-26.62325358651325,-1.9712565424450619,-0.3518804845982633,-0.3378052652143328
13.280848,73,6.024768,73.0,-38.44636327911094,19.989972363787384,22.467437187222643,-5.0589195227623,-25.57159637212753,-4.639644693909311,-25.55429491973934,-2.905742639633847,-0.2301457018972238,-0.33601272476994676
-10.86636,63,6.141939,63.0,-51.191509980175155,19.278546245322236,20.197362140168956,-4.650688478946685,-23.841877996921546,-6.30440878239702,-24.997855135699893,-2.3559281523643927,-0.3152636658078123,-0.3972322189178435
-18.717521,47,6.227569,47.0,-39.13246496418855,12.659721170018857,15.17734774296143,-3.5062475180625925,-18.481403529644005,-5.5821374707925315,-25.051731585685218,-1.8006043847208166,-0.3674193733859026,-0.34537421098274845
-6.539665,46,6.310911,46.0,-28.558354174253505,14.204649016071905,15.57818981209466,-3.1533417820930487,-16.080083018541334,-2.2787838581459527,-30.83514369597529,-1.4167969524540214,-0.21639536205887255,-0.19908373309416275
-42.765297,57,10.39375,57.0,-70.01172485932577,15.964688133980738,18.1484584015232,-4.331968755722046,-20.869464659690863,-9.050936186880152,-27.00291873036335,-2.611430332961402,-0.4838211152357579,-0.5515560713687641
0.893057,51,10.496478,51.0,-30.98745344114538,15.151110353546017,16.670465802155338,-3.698058848381043,-17.2680986404419,-2.942004014039497,-25.061194768207656,-1.9717089585272118,-0.2259567866733635,-0.23047592240683076
102.123908,69,10.622386,69.0,47.751649874532106,21.17573907825532,21.70111654039611,-5.488979520797732,-27.73776230812073,-4.310273222294781,-17.04332867246348,-2.9242532732078854,0.31611228072603004,0.4362349474019215
19.911467,67,10.751704,67.0,-36.05926237749901,20.181446143156005,22.390581970646885,-4.920220527648924,-24.586787450313572,-3.878825614692456,-17.59806567196376,-2.617399539812566,-0.2528849224643804,-0.33886579610226975
-26.605504,44,10.836932,44.0,-46.74665795323216,11.263704423478512,13.782340793758202,-3.2099269270896924,-16.59774867296219,-5.268912951747205,-22.42506915875705,-1.4032336641098375,-0.45422654264739665,-0.39971935752970905
