#{"t_start": 1783132195.760985, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_ctrl,rc_action_rate,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist
-6.590517,64,1.415641,64.0,-53.90762063029793,18.719012523954333,20.60709806385124,-4.439378824234009,-20.77101620435714,-6.8295875924041125,-21.62570252948184,-2.343321371719142,-0.28296777733334877,-0.3621987549866864
-25.455084,51,1.506221,51.0,-45.88363256171412,13.387787998289502,15.481189258316268,-3.9698987460136417,-19.22709155082702,-5.325320609970147,-29.235353128356312,-1.6827642645006227,-0.396379225192184,-0.40430680969602767
112.803728,67,1.62683,67.0,74.35968237036568,21.197240175113375,21.555724551757596,-4.7332952260971055,-23.41735852956772,-8.48447373580102,-32.073853106973075,-2.599938886076152,0.4530908995961421,0.6071418054588305
-35.150918,47,1.716339,47.0,-54.03098020687342,11.261621870360242,13.107699665193556,-3.5824710035324085,-17.299462151527408,-7.178400981578444,-22.833438182545226,-1.5954865962510638,-0.4565117233280539,-0.4291210199283707
-38.351674,45,1.79747,45.0,-48.01317637012837,12.870381476402084,14.5367318266734,-3.529132641553879,-19.398779773712153,-5.8044730294002465,-32.41203675805497,-1.6011882673752647,-0.4426862699802582,-0.39841764298223237
2.979327,71,1.937304,71.0,-40.71838538318061,23.670863509874575,25.290921299291615,-5.191242928504947,-25.707954335212705,-3.776603269338797,-39.009866757132315,-2.5784047878173686,-0.2306089132539769,-0.3274646568206472
-37.730374,58,2.041271,58.0,-59.9444594804629,16.806481165417136,17.332855131124006,-4.302319860458374,-20.707013463974,-7.191767798477666,-35.67833637144983,-2.045813190735228,-0.436431211938578,-0.5062602058487504
-24.421105,57,2.144918,57.0,-42.891379048824845,14.900156908667677,17.141664087826047,-3.952869620323181,-20.12775106430054,-6.7979485528805945,-37.333718275766294,-2.3592594774279556,-0.30655981981173935,-0.34947819458538293
8.065849,64,2.263719,64.0,-39.47025790214382,18.95972607179914,20.331376039622146,-4.608714876174926,-23.430105841159826,-4.4602726183057735,-20.930958493394257,-2.3249435862397885,-0.1519821422325674,-0.19453714205768627
-5.291585,52,2.359985,52.0,-39.91565795372306,14.52556406044532,16.10870228148104,-3.823520348072052,-19.377968519926068,-4.784625144429557,-18.02542330634449,-1.9986562983868372,-0.38949292917088035,-0.40507264633771556
-1.831534,42,2.436154,42.0,-26.832790014116934,12.621556632552457,12.610609715810732,-3.1305204653739938,-16.707107400894166,-2.6417867502407932,-18.239053905084134,-1.5124420393502234,-0.3685303696170962,-0.3095655104783608
-30.91222,55,2.541549,55.0,-53.57106930282402,14.96792061054665,17.401058407653135,-4.271084909439089,-20.499001920223236,-6.929924516461762,-30.89207620370832,-2.118042554778168,-0.4398983184816679,-0.48388815032983473
-25.38484,49,2.635699,49.0,-48.64329237782036,13.011162301895672,14.736012542695166,-3.7170924496650697,-19.165829885005948,-6.313685120573299,-22.561923903825956,-1.730191455165392,-0.4073020230546073,-0.39915598259351515
-17.031341,53,2.735648,53.0,-35.76610548862331,14.626210160180593,16.612837734601392,-4.009723269939422,-20.178262233734134,-4.392565869209431,-34.50334245935857,-2.4203897932773293,-0.37203330987005434,-0.39435530846225764
-22.926463,55,2.837877,55.0,-45.64340576281119,15.286774139105471,17.45417003987997,-3.7340590620040888,-18.26039571762085,-5.5596496833684474,-35.42677350093367,-2.0431231250384,-0.4004432620825902,-0.4404875882908492
