#{"t_start": 1783132195.627084, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_ctrl,rc_action_rate,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist
-25.423209,57,1.534439,57.0,-59.39461226045607,17.034543807090227,17.646799488870144,-4.099331351518631,-19.126840913295744,-6.445916239272544,-25.986803689850813,-2.0510474700425365,-0.2590698537816958,-0.2953396333111332
-5.245932,51,1.627402,51.0,-30.389763674114004,12.58164458212806,14.987907247386827,-3.6382515287399277,-18.995295286178585,-4.384755891524287,-24.317432951542504,-2.0899843491421004,-0.2589404128031297,-0.2641192210591923
-35.669425,49,1.713968,49.0,-63.79606796275066,11.682330184527043,14.671136555171763,-3.380631849765779,-16.922155141830448,-8.460721166212757,-16.716620796398004,-1.7466945501489257,-0.5097471296294586,-0.4995521870368694
2.110403,66,1.839444,66.0,-31.305536518459345,18.442538071454134,20.286548792105368,-4.775609726905821,-23.037955951690673,-3.670724312960453,-36.80657744055953,-3.022279992649389,-0.3262172849542878,-0.43060681613965995
-37.328122,54,1.936842,54.0,-67.49668617940084,15.093762051025328,17.416427599812963,-3.828882122039794,-18.995981323719022,-8.860133594788783,-22.686341897569175,-1.9702870187172532,-0.4916706198897061,-0.5310042694808826
-25.251466,43,2.021334,43.0,-38.771279893465,10.438787003007622,12.645887582578306,-3.113576364517212,-16.531967294216155,-6.299761988068683,-24.98999453958074,-1.6295603370298932,-0.388334357141179,-0.3339675471414139
-10.83882,37,2.092716,37.0,-24.022963216390455,9.956181175430224,10.852207544505749,-2.8125567078590388,-13.14159103631973,-3.7419627366972534,-23.132445868869883,-1.7956888095831967,-0.2555087214766353,-0.1890764538927101
4.649642,36,2.157931,36.0,-15.70821450370971,8.76519541629824,11.346222932744304,-2.790068459510803,-12.246537536382673,-3.2291982418611145,-15.613507842417663,-1.8742500739105457,-0.23570732889194063,-0.16970927680219725
-12.077278,62,2.269706,62.0,-45.36247232998359,16.41635982214355,19.611482186591722,-4.093602664470672,-20.486490297317506,-5.38789249787269,-32.51678413621558,-2.2578780034207058,-0.27405580818417274,-0.3398292021483742
-6.952903,46,2.352035,46.0,-33.84886499118827,13.030059669380625,14.426020693818346,-3.66700824022293,-18.08659506440163,-3.9634231298397262,-18.894098277846084,-1.9489931903993138,-0.3757283979732052,-0.34567012613534875
1.125652,71,2.486167,71.0,-49.52871926595458,21.16737449831321,22.169210167289204,-5.367175101041795,-26.138895511627197,-5.937552130791442,-23.452604011044407,-2.7859868450985275,-0.28428211164345657,-0.4036805985337083
-19.373375,42,2.562396,42.0,-32.57455587671788,10.421446492262222,11.563042578868641,-3.214752905368805,-16.168073320388793,-4.527042719238629,-25.529707810622554,-1.3437315551093982,-0.2629624297570807,-0.22088844099594776
-4.229991,49,2.656338,49.0,-29.948158813632936,13.349635800102186,15.259513207759284,-3.772675659656526,-17.915792071819308,-4.0414869684531585,-24.143711374659322,-2.0173147569078336,-0.29875330497732877,-0.2927782388777822
-8.560391,59,2.769782,59.0,-41.84503966387544,15.795474638053644,17.640071810622498,-4.279747371673583,-20.21553437709808,-6.239939142907397,-25.918384630913565,-2.4972926653614667,-0.34233905276637505,-0.40396008226432256
-10.485673,42,2.849769,42.0,-32.02125156916647,10.313911183209044,12.78759988262118,-2.9123600053787233,-15.14982397556305,-5.2410104452662925,-18.834603430238555,-1.4281341526147993,-0.33878261946128363,-0.28457740034747825
-26.174625,47,2.936989,47.0,-46.34051036705502,12.10991672675377,13.913518118331393,-3.551790714263915,-19.01170395612717,-5.3906166366634345,-23.295288986345582,-1.6081490794796907,-0.36596679330732296,-0.3440087857088836
-21.873217,57,3.040243,57.0,-39.21894761411663,16.07929378960921,17.32920944738649,-4.3286640954017646,-21.425321173667903,-4.394135225270751,-40.42592812076801,-2.488724481818659,-0.39205052769893467,-0.4469376015767856
-31.814698,45,3.125414,45.0,-47.30611369274518,11.191292465420798,12.941165563053337,-3.5285681772232067,-18.15421019792557,-6.720515680240976,-23.721572033170546,-1.516175749556278,-0.40404780050970124,-0.36364302045873115
-16.678891,46,3.213361,46.0,-41.76943275253564,12.919025987066048,14.873508022105272,-3.463133630752562,-16.055067944526677,-4.40909389694839,-23.047921096444718,-1.726775960757799,-0.36106767448800037,-0.3321822605289603
-40.324856,46,3.30406,46.0,-54.85031949949175,12.198045466257422,13.729764350229448,-3.3957312798500063,-16.804267394542695,-8.625099576274147,-26.62691419711014,-1.9503340811871546,-0.3366846755883841,-0.3097499015413134
-32.449755,43,3.838749,43.0,-46.52919659923833,10.331176124577127,12.716618386267852,-3.314864580631256,-16.590294003486633,-4.699851643505521,-25.672146635887636,-1.691195739144196,-0.4358641723927267,-0.37484318825774493
22.512416,57,3.944908,57.0,-12.688446823291414,16.355138713277416,17.366710410337504,-3.9382121133804326,-19.021711373329165,-1.565291628243005,-28.802081773222408,-2.1936897549279446,-0.22976244082766395,-0.2619291825435369
-25.338925,47,4.030734,47.0,-42.759376420019095,12.95743720702225,15.173619870593722,-3.308845040798187,-17.031818580627437,-5.306874788287288,-30.70487008808633,-1.3581966866666253,-0.26693045164248047,-0.25091462454393165
-8.412527,54,4.130194,54.0,-39.416388444252036,14.207351253201445,16.586176410296293,-4.312403893470766,-20.495479059219363,-4.867814932379281,-21.86704378478332,-2.246924338327101,-0.38731976673347657,-0.41830534807215475
-4.073022,67,4.253691,67.0,-41.25115952201391,20.603964325170622,22.683140219246294,-5.037140135765076,-23.903050470352177,-5.734179709712504,-35.84876318800829,-2.5858333062452297,-0.26711934199472176,-0.35793991827292715
-10.926522,42,4.331948,42.0,-17.31423038256129,12.606776790100918,12.86158517809795,-3.0866816973686215,-16.08542962670326,-2.1015515529370568,-38.13997365328142,-1.6670170434861162,-0.19055800955422117,-0.16006872802554578
-30.427202,52,4.430783,52.0,-62.25606374617044,13.698580718932075,16.175629739605572,-3.6601082110404968,-19.133716118335723,-8.441802283793956,-16.951080109061014,-1.8586416586002823,-0.47633648388191696,-0.49538994323719365
-12.669222,51,4.525181,51.0,-41.701867505007705,12.697300217660157,15.227985931577361,-3.513855580091477,-17.561055839061737,-5.04171900592724,-21.883048780268176,-1.8929612460131893,-0.31957188834520567,-0.32596332611210976
-6.376249,46,4.611598,46.0,-25.32972809455817,14.867620015757478,14.729837590658613,-3.4213678765296938,-16.20925842523575,-2.9781034404933924,-32.52640686730471,-1.508841640676162,-0.19620379130386573,-0.1805074879995565
-39.24048,51,4.702869,51.0,-62.01959277361822,14.67994515971587,15.669130797979575,-3.843970503807068,-19.573411917686464,-8.948705981503073,-24.164884618229834,-2.038990154595142,-0.4727443482400271,-0.48219923520482766
-24.257197,53,4.801001,53.0,-53.86307877995117,14.26461857213625,16.829149493232354,-3.651054923534392,-18.397626268863682,-5.180436707454848,-25.70778389962616,-1.5509844789441853,-0.4047930282330055,-0.4290806099269859
-19.332306,46,4.885364,46.0,-46.169652257152165,11.969675300701663,15.037277068404212,-3.1985863041877747,-15.2965623319149,-5.319855960916909,-20.640896280507857,-1.7137052025188892,-0.3419816174690673,-0.31462308807154193
-4.170897,55,4.987812,55.0,-46.01427372854613,14.959606835972744,16.147807754029028,-4.1243612098693845,-19.323766648769386,-5.098350340018779,-13.837752570253866,-1.8798075211315983,-0.37565114257535276,-0.41321625683288804
-21.949335,50,5.082892,50.0,-49.37217429581593,14.114519369899085,15.665400604701427,-3.576689417362213,-18.365979027748104,-6.698299701424498,-21.888680873654803,-1.8274318756191446,-0.39618654826261623,-0.39618654826261623
28.004205,53,5.18228,53.0,-17.742352004555713,14.958057410352078,16.689118072672752,-3.816787698268889,-17.675840532779695,-1.996294230125904,-13.255770392081656,-2.1559255740544296,-0.24196889477716796,-0.25648702846379806
27.221996,99,5.365286,99.0,-43.91901559944226,34.67812122428279,34.343549454150114,-7.766152300834657,-37.443925285339354,-3.2582472781843546,-44.67902380168331,-3.733310565441097,-0.05724484065745601,-0.1133447845017629
-4.053122,44,5.450835,44.0,-29.641882395816765,12.167153803631898,13.814197450285274,-3.149137856960297,-15.485247719287873,-3.2200393845366144,-20.894068324676244,-1.6440979248518208,-0.2589490211686278,-0.22787513862839243
-21.70627,45,5.535072,45.0,-44.69702913643348,10.820884883793473,13.281062989305113,-3.5124327874183656,-18.398839390277868,-6.353768440382811,-16.147964738747095,-1.6981838107429408,-0.4809106196301855,-0.43281955766716695
30.964161,50,5.628959,50.0,-11.210204644453619,15.08396950056029,15.205427651104172,-3.862567675113678,-20.132081735134122,-0.8910562050569312,-11.322595922575173,-1.9067299308369405,-0.41691834337236167,-0.41691834337236167
