#{"t_start": 1783132195.6238835, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_ctrl,rc_action_rate,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist
-6.900841,62,1.548738,62.0,-41.79383219295912,18.039807152405064,20.740128592083554,-4.687979872226714,-22.957582622766502,-4.525426825880219,-31.263886460038446,-2.4520686364798956,-0.3055815534575025,-0.37892112628730307
-14.968127,50,1.637925,50.0,-39.74711040922212,14.662577119889098,15.900808494755625,-3.7516378545761095,-18.220052397251123,-4.182767138142178,-27.93412600187249,-1.695818761516339,-0.32465368015869916,-0.32465368015869916
-15.896212,52,1.729555,52.0,-42.46452690187043,14.52762694065916,17.395424996840212,-3.6948473930358894,-18.19606931805611,-5.759005822916034,-27.760016266682722,-1.9447982154671997,-0.24485758589143908,-0.25465188932709665
-14.7289,56,1.837241,56.0,-42.028391892490276,15.092549644730235,17.089544587464932,-4.229239449501038,-19.367600655555727,-4.686087841516661,-30.396636229180288,-2.2030384497370514,-0.4456374514909548,-0.49911394566986944
-11.609602,65,1.954218,65.0,-41.37967888089901,19.368448662351774,20.75916650516559,-5.0072539424896245,-26.098623836040492,-5.668078323031738,-36.297279125510556,-2.2863030639986506,-0.24892614460453863,-0.32360398798590023
-15.883574,51,2.05767,51.0,-41.59946923834631,13.522149165869566,14.65250127610489,-3.9093203449249274,-19.410500490665434,-4.61532532597221,-23.617317653025875,-1.9062913385414555,-0.33442758595282557,-0.3411161376718821
-27.293534,54,2.155715,54.0,-39.55824959825024,16.81590968028542,18.77257700949079,-4.607120118141175,-22.875270521640775,-4.5616497428457246,-42.85633683891431,-2.42339412106788,-0.2757782363595228,-0.29784049526828466
-14.721072,48,2.241178,48.0,-44.92840588100019,12.987289083363684,14.047681409533368,-3.701333432197572,-19.70952423810959,-5.612639322762089,-14.237090371371451,-1.5670493860074033,-0.49744900961642097,-0.4775510492317641
14.71277,55,2.340731,55.0,-17.94021923865385,15.427558468457152,16.286239831018197,-4.140117530822753,-20.112818169593808,-1.963977934882861,-25.720182365902748,-2.1237129892378164,-0.3387239306127515,-0.37259632367402673
-25.842116,64,2.459045,64.0,-59.39385852014439,18.430602941834792,21.013063126105678,-4.718114550113678,-24.225123310089106,-7.6542075919995645,-30.93184065393858,-2.362637112021778,-0.341071657272177,-0.4365717213083865
-32.436263,56,2.563587,56.0,-53.13413521708197,16.34737140876397,18.24577851040587,-4.147557728290558,-21.062910962104795,-5.33085139662452,-37.16640503891542,-2.187553016926615,-0.3488446371661919,-0.39070599362613495
-27.436539,61,2.680496,61.0,-54.93540791549371,18.488483449438615,19.571047270418116,-4.52153195142746,-24.489758414030078,-5.031187084196856,-35.43562354586334,-2.082560411169057,-0.3580841969156791,-0.4368627202371285
-18.129657,45,2.767396,45.0,-35.44370027984222,12.384314268949524,14.559228004770643,-3.4577360057830817,-17.64322412014008,-5.078346187167575,-26.67565903838883,-1.7745337904028435,-0.36310277359635335,-0.326792496236718
-8.613625,45,2.852975,45.0,-31.257467445805485,12.458714863529433,14.355881665069244,-3.2753435087203977,-16.610069394111633,-4.702546864537256,-22.545995738478634,-2.0367985539486075,-0.2930140227356841,-0.2637126204621157
-16.080072,52,2.949239,52.0,-43.60092726876412,14.386406828700897,15.344446326381407,-3.8727602362632747,-18.73983287811279,-4.3319976513143335,-25.298655923398258,-1.9667509392913014,-0.3899265198089516,-0.40552358060130966
