#{"t_start": 1783132195.4842157, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_ctrl,rc_action_rate,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist
17.513054,56,1.674992,56.0,-20.281979665541108,15.023023642291703,17.139559676813366,-3.9329632139205932,-19.56291270256043,-2.736870511763558,-22.079366931725527,-2.0554361114754442,-0.24234597952347595,-0.2714274970662931
55.325391,77,1.814013,77.0,-16.038007987043645,25.447878669013825,24.918935228255553,-5.602038960456848,-29.35124404430389,-1.5503138250933732,-16.882030459623316,-2.6177873870541397,-0.08035310161547571,-0.1237437764878326
-10.222208,39,1.882789,39.0,-27.557086963962107,9.106740234570715,11.083286802433856,-2.890599942207337,-14.132442963123324,-3.7085513849688683,-19.576913336267395,-1.5466401339146858,-0.2477469417965545,-0.1932426146013125
-27.243456,47,1.974871,47.0,-45.99613859815752,11.838886678714871,13.245933938249639,-3.110900847911835,-14.92642537355423,-6.5393152831242185,-27.027626183011336,-1.7278699576944005,-0.4542492214794162,-0.4269942681906513
-29.310191,40,2.045993,40.0,-38.593576703712294,10.620830695420883,12.31812622682061,-2.860497493743896,-15.128847718238832,-4.698807229796096,-29.409239874043017,-1.5581786291453952,-0.3569928816313224,-0.28559430530505797
-30.389884,47,2.134924,47.0,-50.5051807018428,11.925440274952201,14.609381208686154,-3.706696994304657,-17.403663945198062,-7.076009001032164,-23.039056770793373,-2.1940976806580785,-0.42407827975932016,-0.398633582973761
-34.100047,56,2.244393,56.0,-58.48334545056229,15.36339889186595,17.4324288942837,-4.162126758098603,-20.973429298400877,-7.8279972933486714,-29.198628397686882,-2.2503477117985056,-0.4100314402011824,-0.4592352130253243
-21.957206,61,2.353615,61.0,-52.54597365651652,15.979138685594902,18.513242087038222,-4.372333197593689,-22.35504081249237,-5.970537043082978,-30.091897184866042,-2.113804566975318,-0.3689320266014886,-0.4500970724538161
-18.98483,44,2.434078,44.0,-45.626110161353886,11.639217937664537,13.609076106631763,-3.234807624816894,-16.663715410232545,-6.340201633221227,-14.596047218864609,-1.7722424550805678,-0.3977004550098313,-0.3499764004086516
-31.184829,46,2.519853,46.0,-39.99151816285561,12.26697369933012,13.298046338199335,-3.259917185306548,-15.874993091821668,-4.734095834208459,-37.08694045153775,-1.8023842646483061,-0.444206025856301,-0.4086695437877969
-26.791469,53,2.615663,53.0,-59.191764368581126,13.674309794852912,16.084405108008898,-3.996105566024781,-19.01162047386169,-7.745588800306269,-17.47758710420648,-2.127517578971569,-0.44731835761410416,-0.4741574590709504
-19.124158,51,2.710627,51.0,-49.17677743674444,13.955620203592186,15.972979156679113,-3.768002080917358,-18.53612698316574,-7.222719916498256,-19.399477503949324,-1.9496532387165448,-0.39279463337009496,-0.40065052603749685
-26.980121,48,2.803089,48.0,-40.011717739487835,13.950001342119531,15.861775993370811,-3.5738338828086844,-17.89645434617996,-5.952127142108287,-35.32991462198621,-2.027850597467774,-0.34349816591715066,-0.3297582392804646
-16.214159,50,2.899728,50.0,-38.445883608539184,12.954641789258552,15.411181910117776,-3.745928297042846,-19.242015874385835,-5.8145606806147345,-25.432299055778714,-1.8992951918542804,-0.2643150833988784,-0.2643150833988784
-28.373415,55,3.003253,55.0,-56.02632129877939,15.483667332580692,17.230985597797417,-4.138917798995972,-20.491572582721712,-8.028867084151688,-25.21846681979392,-2.1839219656313285,-0.390979165132489,-0.43007708164573794
37.641891,50,3.096263,50.0,-6.276253077300184,15.102571992934083,15.078654962755108,-3.652125785350799,-18.74126098155975,-0.36042347704045663,-11.813999284075983,-1.6952738453068608,-0.3864992946268285,-0.3864992946268285
-2.861612,58,3.203911,58.0,-30.317514647857564,17.403585307466024,19.310817962601742,-4.257441362142564,-21.06647201776504,-3.259666269430272,-36.11527483490776,-2.5596457118822076,-0.23926444404975963,-0.27754675509772114
101.976149,79,3.352423,79.0,47.01088877914012,25.052643781408495,26.2547480946547,-5.809408848285675,-29.827665340900417,-3.8421347918829127,-32.589945381862115,-3.272977491480253,0.273002809968028,0.4313444397494843
-18.375203,55,3.459929,55.0,-45.76551866536209,14.79795673232061,17.15509411626671,-4.178354160785674,-21.78585300445557,-6.309513040560447,-25.341169956574443,-1.9478453294684437,-0.18195151012737887,-0.20014666114011678
-33.089698,52,4.010565,52.0,-55.63869666976965,14.324239215099974,15.917603688068654,-3.881195166110993,-19.202408516407015,-6.72435861672314,-28.09229783655962,-1.7925844791040033,-0.4523047769232738,-0.4703969680002048
-24.535279,44,4.093178,44.0,-43.30109499636245,11.783940348293704,12.885141949909656,-3.4060927057266235,-16.520182549953464,-4.451785935593705,-24.07873067632924,-1.4464743221089993,-0.39316396886170163,-0.34598429259829744
-45.384088,46,4.177227,46.0,-68.27412221767976,10.991014604025805,12.97708356116665,-3.2007933402061464,-16.319913077354435,-9.416061323025493,-16.457482700751434,-1.6838134783932923,-0.5929837987518203,-0.5455450948516747
-43.543421,63,4.292752,63.0,-71.84973995425433,18.362478913517126,20.3492233408273,-4.635106341838838,-22.49378225803375,-8.485759272737402,-35.66954595981366,-2.121189749555117,-0.5099609310515864,-0.6425507731249989
-20.127693,49,4.383771,49.0,-35.13270209358933,13.653887760286821,15.712242959102976,-3.6748696875572207,-18.008893692493444,-3.765285194300529,-36.108097680579526,-1.8039757234829925,-0.3148758107102587,-0.30857829449605356
12.062724,54,4.483884,54.0,-26.61155602215818,15.237497722225656,16.93269931250093,-3.929326438903809,-18.97592743039131,-3.703242051468372,-18.781125977282713,-2.1062951029239527,-0.32521126487312,-0.35122816606296964
-28.782,48,4.575463,48.0,-45.71541016056383,12.543352371683984,14.40932563070065,-3.6694446063041686,-17.911393368244173,-5.20293171242195,-29.002089126114235,-2.2334089765256846,-0.42950813378653296,-0.4123278084350716
52.018394,62,4.690941,62.0,-3.0767275665915816,20.464828279793473,20.00594063215211,-4.433415255546569,-21.698287534713753,-0.6018023394703393,-18.62332488169548,-2.0188176239135234,-0.3180793823442201,-0.39441843410683297
-25.734346,41,4.766935,41.0,-34.460342715288455,11.110236393139493,12.86821335896028,-3.01722446680069,-14.510800564289092,-5.10503154846787,-32.11210711548446,-1.5072892663400301,-0.3149835513090768,-0.258286512073443
-20.122401,55,4.867313,55.0,-51.712601595915736,14.966377723933013,16.723275545245013,-3.915367392301561,-19.6350635766983,-7.28648623937739,-22.02587945055148,-2.236656420007148,-0.3671847311949187,-0.40390320431441057
80.850135,75,5.00411,75.0,14.579635226719242,23.591478420098447,22.113627568211246,-5.254758090972901,-26.136070072650924,-1.3059782476774184,-19.172513041174412,-2.5652869762772847,-0.0734145047715135,-0.11012175715727024
-18.981045,63,5.121076,63.0,-63.10560425394834,17.875985172716973,20.040683639976645,-4.50871282339096,-23.640315937995908,-8.24702068393559,-18.262766522514735,-2.1332937718936646,-0.4343186691134369,-0.5472415230829305
-24.47643,48,5.212106,48.0,-48.28036825147901,13.128120728726609,14.380244656180766,-3.58630212545395,-17.737126481533053,-5.1625981297896635,-23.58424146646703,-1.634158606625066,-0.4324389419926774,-0.4151413843129703
4.904312,75,5.352258,75.0,-48.059774354461666,22.172355240619428,24.224750484928794,-5.365863056182862,-27.065113091468817,-7.180405831512902,-25.61232919586826,-3.2093086304020555,-0.250442898027841,-0.3756643470417615
-28.823651,54,5.451729,54.0,-41.13024386361831,15.475615213200442,17.464636882590217,-3.944977061748504,-19.895310783386225,-5.448048875104204,-43.20633418851636,-2.1389886501843867,-0.29907959812956914,-0.3230059659799347
-3.761347,51,5.550588,51.0,-33.09234777307259,13.52694213663335,16.089036157502683,-3.60568427324295,-19.075267982482906,-5.43101486726424,-21.36217026902281,-1.8108399844077199,-0.28238801144862935,-0.28803577167760197
-15.246561,44,5.632128,44.0,-38.32551924301736,11.282705305559228,13.377182615267467,-2.957457313537597,-15.72942164540291,-4.64814490678618,-21.059898028736086,-1.1860078828202911,-0.3673447064337211,-0.32326334166167453
8.108968,59,5.741648,59.0,-32.55163013399258,17.732226663856338,18.91311239531375,-4.3000523173809055,-21.51559950113296,-3.8631992426696704,-23.11853546956858,-2.1873548587443397,-0.21740815179877282,-0.2565416191225519
-21.910062,56,5.961993,56.0,-34.602984961878505,14.876575390341221,16.983187183668527,-4.218277571201324,-21.258797669410697,-6.579374895255978,-41.01251546281698,-2.097874009201892,-0.23421281273574343,-0.26231835026403266
2.291375,56,6.063416,56.0,-21.058702006121223,17.018506108488687,18.866021247795562,-4.182841501235963,-20.585178911685947,-2.659275410679181,-38.891245716995776,-2.215908704299397,-0.21285033526763952,-0.23839237549975628
15.072489,58,6.164822,58.0,-17.480819550726533,18.886168164089476,19.535243021607545,-4.146182172298432,-20.984531295299536,-2.2820628252697635,-34.20210461208384,-2.253222098651037,-0.12114274990129884,-0.14052558988550665
-12.866292,49,6.254153,49.0,-40.805014441037585,12.427560680862733,13.827128317734825,-3.805261471271515,-19.46388130187988,-5.171631073392398,-17.139540212587704,-1.7356524485078533,-0.31361586776048095,-0.30734355040527134
-15.231288,47,6.341967,47.0,-43.160582181633686,11.539232100847153,14.828869693829434,-3.550328283309936,-17.30179983973503,-6.455626864390741,-16.448872922239318,-1.6821801989201544,-0.36464484284839044,-0.342766152277487
-10.18995,46,6.429939,46.0,-35.887980224363005,10.879462432723297,13.827113837840638,-3.3980137372016905,-17.972588157653814,-4.905298437637529,-16.983926291935163,-1.7487194135141118,-0.3428610342805335,-0.31543215153809084
-13.810644,51,6.530594,51.0,-39.422830126068376,13.839822525511817,16.66468314996309,-3.8113176417350765,-18.1685785651207,-6.469321168073824,-25.419879078907705,-2.023222776893844,-0.3761847862265721,-0.3837084819511035
-23.699659,56,6.636642,56.0,-47.276493582312874,17.462381823523916,19.009072832327124,-4.4126792049407975,-20.141553211212152,-3.8310355694565907,-38.16853896839357,-2.3408136150162924,-0.3222153511560763,-0.3608811932948055
-35.486804,56,6.744385,56.0,-61.93336762889898,14.585666011165985,16.743562031688718,-4.435431990623473,-21.67421867847442,-7.900277785309856,-24.628511210392034,-2.2442246575256104,-0.35855731291357246,-0.4015841904632012
-1.205575,67,6.867889,67.0,-48.33064955232971,20.360909932895584,21.876361629357216,-5.077279541492462,-24.785510993003836,-6.396648498161847,-23.25537780370756,-2.5973801463884416,-0.3318770097580787,-0.44471519307582547
-34.566461,61,6.980742,61.0,-56.47550880685275,16.406879741331114,18.81020504010401,-4.440702373981478,-21.50756999254227,-7.4306942087041765,-38.405202352229125,-2.523868445592367,-0.3112309121188744,-0.37970171278502673
-14.404289,53,7.078349,53.0,-46.5489185083098,14.670210177359511,17.20912231804022,-3.691023604869843,-17.585731029510494,-5.8615366286843855,-23.602965933733525,-1.9934459572957008,-0.3069593652976533,-0.3253769272155125
-11.355861,49,7.168691,49.0,-37.82449082779275,12.186914908377885,14.332398457204201,-3.697127623558043,-17.394738531112665,-5.356528038947917,-20.607475756373166,-1.994813946491153,-0.32048463811421896,-0.3140749453519346
-21.629889,46,7.254625,46.0,-49.12478339430617,13.56789795473216,14.182411243439388,-3.182859265804291,-14.275844997167587,-6.318451972845459,-20.61406987367605,-1.8641891032709013,-0.45909314504825804,-0.4223656934443974
42.97785,63,7.369314,63.0,-18.1500713784928,20.02440656330219,20.62986647912107,-4.572483284473418,-21.09688248634338,-1.1301430552970906,-13.574113057594461,-2.152729496856395,-0.3265202302639613,-0.41141549013259127
2.146718,61,7.482357,61.0,-34.651020516544,18.50880803193836,20.222385358937576,-4.463121142387391,-21.496048378944394,-4.423443555048663,-30.12464187264647,-2.4262003855371637,-0.22793536517451277,-0.2780811455129056
1.444709,57,7.586319,57.0,-33.990772392975806,16.362018464233337,17.775853403956667,-4.009288897514344,-20.292073887586593,-3.774220574888348,-25.702683802202454,-1.924123294038244,-0.31939105463600226,-0.36410580228504263
-18.464706,53,7.684636,53.0,-35.25300725270777,13.722104081075363,15.68770975723573,-3.8954006695747383,-19.728473663330078,-4.181111148569127,-35.85149196315906,-1.9650352399576991,-0.18470320276654992,-0.19578539493254293
-15.262163,59,7.795458,59.0,-41.97363281875067,17.050631851426896,19.263850760892137,-4.624417800903318,-23.718199014663686,-5.397813429071452,-32.779477402094685,-2.083105355339688,-0.257240267912481,-0.3035435161367276
13.744914,89,8.072171,89.0,-44.98611605213044,28.122271359713675,29.87258064840431,-6.694541327953342,-33.81642011404037,-6.632321425239185,-37.82833299291431,-3.2922064056866205,-0.20408317477193746,-0.3632680510940487
8.27366,66,8.197407,66.0,-33.88068445234882,19.225748605083268,21.729584239868977,-5.088523125648497,-25.28910863399505,-5.2352213863664625,-26.69740206812311,-2.490733023853712,-0.25696162640205183,-0.33918934685070845
19.030906,85,8.35286,85.0,-41.279686811441145,26.441658536400944,28.155774949992946,-6.03362946510315,-30.874828135967267,-5.442822768083653,-33.94649208715306,-2.9890679923844865,-0.23954038556663357,-0.40721865546327707
-33.367217,46,8.434963,46.0,-51.19680448349837,11.340529053899424,13.318937206357894,-3.279816391468048,-16.156097221374512,-6.696682199840651,-25.023897435092294,-1.67338530946545,-0.44576153773882876,-0.4101006147197225
-11.627553,60,8.541037,60.0,-42.74161747782609,17.425931789022627,19.817039584199733,-4.580639481544497,-23.964452600479117,-5.397941724262639,-29.87401478619882,-2.311858260327735,-0.27833949281812786,-0.3340073913817534
11.505636,61,8.650182,61.0,-28.38036060813158,17.747476857154354,19.737147826443127,-4.4767413377761835,-21.913535052537913,-3.8815233239932487,-26.09269023412139,-2.234137687175674,-0.22444868276597832,-0.27382739297449354
-24.522894,50,8.742361,50.0,-50.3501182007052,14.610040586834305,15.432434845355575,-3.9058398246765127,-18.561721837520604,-6.430859197917112,-23.33566173958756,-1.9811687632782395,-0.32919480684955676,-0.32919480684955676
9.212422,57,8.849805,57.0,-29.99543438104069,16.488480445549932,18.68654441813622,-4.139196083545685,-20.417288386821742,-3.0764261511732953,-23.557297332774155,-1.7769603054164278,-0.277823459283152,-0.31671874358279334
20.213095,46,8.936296,46.0,-15.892338718917076,13.069530210859577,13.320465607731798,-3.272767068147659,-15.809467202425003,-1.2210290358818439,-14.040612779936794,-1.94068633046753,-0.3641042518444315,-0.334975911696877
