#{"t_start": 1783133905.6750956, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_single,rc_air,rc_ctrl,rc_action_rate,rc_torque,rc_slide,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist,ep_pushes
-17.292999,78,1.152134,78.0,-32.72763775941053,25.760114415794714,27.41863242752064,1.2,-4.3,-6.185569255352019,-30.606324625015255,-12.022199218884223,-3.379777898846125,-3.7230564129488015,-53.747126817544256,-2.980054303082761,-0.12739918873200035,-0.19874273442192056,0.0
-27.382327,52,1.225405,52.0,-41.45438315001174,15.455172699553193,16.459789216275137,0.0,-3.2999999999999994,-4.240307674407959,-22.090299344062796,-8.168476008219791,-2.2266844352408177,-4.1988547755520775,-23.76725449317255,-1.8510291979990874,-0.30592255634820614,-0.3181594586021344,0.0
-47.919619,60,1.30642,60.0,-51.24854054764127,18.82661305766827,18.986393870616094,0.15,-2.9499999999999993,-4.932579159736634,-23.34558119773865,-9.477862041833921,-2.3951990604248103,-5.665596892427885,-43.48398773613935,-2.3832790548353127,-0.39843458642568114,-0.47812150371081735,0.0
-14.556768,59,1.384664,59.0,-40.650968167178476,16.12795051152049,18.88900923498293,0.44999999999999996,-3.34,-4.6711999726295454,-22.88267022371293,-9.522206202103908,-3.1989119962908954,-5.558485643336902,-17.115702422876765,-2.083583315472565,-0.31791862791904757,-0.3751439809444761,0.0
-29.395156,68,1.482154,68.0,-46.803135167085024,20.335110759343824,22.099981730140318,0.6,-4.9300000000000015,-5.308295211791992,-26.829509270191192,-10.559070005133522,-3.8618745991211094,-6.29227586546698,-33.08627141177643,-2.7598172973034285,-0.3160132720646895,-0.42977805000797775,0.0
-53.457585,57,1.564486,57.0,-57.5301929685637,14.246698558493442,17.118243548857798,0.15,-2.76,-4.462419340610504,-24.33103495836259,-9.361266237055172,-2.6023125806000618,-7.336356617717939,-31.359037067850043,-2.229907789618989,-0.2410498371404223,-0.27479681434008146,0.0
-40.354368,54,1.640297,54.0,-47.598551850936786,15.106975297565185,17.060774509598666,0.3,-2.17,-4.286708512306214,-20.69515241384507,-8.545759771764253,-2.7737684158327798,-4.838134226332259,-33.815709106609994,-2.0983333831498445,-0.37171306631916406,-0.40145011162469724,0.0
-63.160302,51,1.719492,51.0,-71.17556567187376,12.798893101249304,15.891697526440126,0.15,-2.42,-3.895715103149415,-19.011094975471494,-7.829745527704192,-2.502510261781201,-10.006522720078502,-24.296308058637592,-1.8634305894805503,-0.5259627537055174,-0.5364820087796277,0.0
-26.180882,48,1.783968,48.0,-25.893744318052246,12.967527152401354,15.672812450585804,0.3,-2.8199999999999994,-4.041826734542847,-18.433528494834903,-7.980847689189891,-1.9194214132233458,-3.3899044060516577,-36.41926261236671,-2.222685875417862,-0.2128469690587716,-0.20433309029642072,0.0
-40.069657,65,1.881062,65.0,-49.72257972138614,19.616997824419272,21.55558733808479,0.15,-3.9499999999999993,-5.312820608615876,-27.186225390434267,-10.238940718199238,-2.9067357731025507,-5.776413183625136,-38.725942880202545,-2.5725842578778884,-0.26818974434913084,-0.3486466676538701,0.0
