#{"t_start": 1783133905.572226, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_single,rc_air,rc_ctrl,rc_action_rate,rc_torque,rc_slide,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist,ep_pushes
-52.620882,51,2.206748,51.0,-59.73351452285472,12.764259891631855,15.354407456335718,0.0,-2.8399999999999994,-4.217656414508819,-21.13180397748947,-8.067217735031154,-2.6934106327227725,-7.630855940104842,-23.377739996019017,-2.0473497000938443,-0.41874474843774956,-0.42711964340650455,0.0
-25.491788,60,2.285131,60.0,-29.351616203922017,18.223158784550517,19.722319115351194,0.3,-3.7999999999999994,-4.653943991661071,-23.052075225114823,-9.23436650082764,-3.1054928273247215,-3.758641654824972,-44.62798208618916,-2.1531472704028034,-0.27228705569921496,-0.32674446683905795,0.0
-17.588444,86,2.407996,86.0,-44.970167944655415,26.701795019571097,28.888825718851113,0.6,-4.49,-6.993769369125369,-34.995409280061715,-13.60811929783796,-3.78870725670237,-5.658522447292365,-41.78225783564326,-3.492111068737257,-0.3224771044724284,-0.5546606196925769,0.0
-25.627465,65,2.498881,65.0,-49.52338980926658,18.429349032296,21.142542206556307,0.6,-3.2199999999999998,-4.999608349800108,-23.898981940746303,-10.361216906285277,-2.8543043467843554,-6.557424089337438,-26.703612512271896,-2.6808181255028734,-0.3589250731561483,-0.4666025951029928,0.0
-31.128647,63,2.58754,63.0,-45.35576724422338,18.645996663649186,20.546882983539113,0.3,-3.4199999999999995,-5.211526196002957,-26.13024483919143,-9.94007524431259,-3.0618114548319553,-7.401544064011086,-30.752952573908008,-2.3476052683688686,-0.2825877720792069,-0.3560605928198007,0.0
-29.195074,47,2.65933,47.0,-35.98411351906397,13.939317644710654,15.269226079727792,0.3,-2.4899999999999998,-3.858817119598389,-18.31482888460159,-7.225766211567329,-1.7049861117293592,-3.8418079269229994,-30.247047181963243,-2.0362511999114217,-0.39185485447064444,-0.3683435632024058,0.0
-30.567726,62,2.74463,62.0,-47.49689251007027,18.98963182121849,20.45317780981419,0.15,-2.67,-4.7964200603961915,-23.98852407932282,-9.552751865704186,-3.1351870453752344,-6.392758934263064,-31.862804429750668,-2.265196303015316,-0.29362570339076444,-0.3640958722045479,0.0
-32.217216,54,2.820004,54.0,-43.0319960672929,15.295139980095936,17.68129258404652,0.44999999999999996,-2.2399999999999998,-4.083081097602846,-20.7211062669754,-8.374675129412084,-2.4288457960471095,-4.592921600096537,-32.01191579420737,-2.1591071663919084,-0.3304591671979372,-0.35689590057377224,0.0
-54.959547,76,2.933264,76.0,-76.96185399203482,24.154550840591106,26.130593635982866,0.44999999999999996,-5.210000000000002,-6.081892337799075,-30.907037520408643,-12.170942031904861,-4.556457813434207,-9.391667384238232,-33.056243079686425,-3.358597261901935,-0.4332863516572266,-0.6585952545189845,0.0
-30.694591,48,3.001522,48.0,-46.243305975475764,12.615602562112825,14.864524662735072,0.0,-1.9,-3.9481687307357785,-19.43223134279252,-7.689767860873752,-1.9631661797262157,-4.577571110251069,-18.732399666679477,-1.6881074260881683,-0.3830239788253884,-0.36770301967237284,0.0
-38.82291,52,3.073346,52.0,-49.26680385112855,14.980768901764256,16.693710713805018,0.0,-3.03,-4.228211965560913,-19.973118245601654,-8.207870024721311,-1.986265806552568,-6.424976511038122,-27.14458298077911,-2.2355599650829614,-0.3330196993163786,-0.34634048728903377,0.0
