#{"t_start": 1783133905.6346483, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_single,rc_air,rc_ctrl,rc_action_rate,rc_torque,rc_slide,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist,ep_pushes
-37.320212,63,1.169294,63.0,-47.367802936924924,18.406651663912385,19.9070939373298,1.05,-3.61,-5.423557000160217,-28.195069861412055,-10.08317934276026,-3.9660321106817156,-7.07251447737555,-31.72174976332809,-2.2440521279853263,-0.32415930570803647,-0.40844072519212593,0.0
-33.878838,49,1.239767,49.0,-36.807453770857244,13.143617820607748,15.245604534381915,0.3,-3.84,-4.040148549079895,-20.254575729370117,-7.535145449915331,-2.2928719813370466,-4.840296300211596,-30.02659194456775,-1.930976958864938,-0.4310429640855495,-0.42242210480383846,0.0
-5.246979,82,1.352528,82.0,-39.780420604675605,27.042202964103176,27.020828427399987,0.3,-3.749999999999999,-6.346525013446808,-33.66812283992767,-12.947410814467078,-4.033055336901603,-5.738883600035621,-32.46372209422499,-2.881870174675802,0.236839106511264,0.38841613467847297,0.0
-45.6214,51,1.419758,51.0,-51.99328897952053,13.902140767746927,15.608420547120653,0.0,-2.75,-4.227718198299408,-21.59612737894059,-8.341021278091953,-2.8212658401303012,-6.675076612143973,-25.699377517202226,-2.0280855256202974,-0.4223791657638772,-0.43082674907915475,0.0
-35.717,47,1.486273,47.0,-35.53027419754196,11.648661369583916,14.254915179599932,0.3,-2.4399999999999995,-3.7931580877304083,-17.881087172031403,-7.445137470011746,-2.498449204989694,-5.084459119526484,-32.24351087777829,-2.004500609897347,-0.32414073665921844,-0.30469229245966534,0.0
-35.584452,51,1.560672,51.0,-55.95657556142375,13.872208335988756,16.071472392579476,0.44999999999999996,-3.05,-3.8239075064659116,-19.418384313583367,-8.075670580730186,-2.179767983476937,-7.5168100418562265,-15.22267404262493,-1.7343426027401894,-0.42840669415067223,-0.4369748280336857,0.0
77.136376,96,1.698354,96.0,32.99687855428676,31.40281013565186,32.307368323439235,3.149999999999999,-4.86,-7.740251476764681,-36.60243721008301,-15.024151461834155,-4.066050191248021,-1.8399108113739375,-44.91132186320641,-3.6765579957104833,-0.02558014055412668,-0.04911386986392322,0.0
-47.322013,48,1.77182,48.0,-34.24356506000405,13.249720884745312,15.72825796006768,0.3,-2.65,-3.8063059782981865,-19.046006846427918,-7.672140530692719,-2.452470337518756,-3.3848502580932744,-49.290254693080506,-2.0543986271736334,-0.32309994246725476,-0.3101759447685646,0.0
-40.096391,69,1.869748,69.0,-57.4243905386184,22.697725264699898,23.773441646836865,0.0,-4.18,-5.754819316864014,-28.15245175361633,-11.339860677236791,-3.739375735173781,-5.260251182995251,-37.01544560963329,-2.700962692586319,-0.3438820776346624,-0.4745572671358341,0.0
-42.197908,58,1.954141,58.0,-50.65246715839477,16.17383967651618,18.20423042810999,0.75,-2.4499999999999997,-4.885806441307068,-24.690619874000557,-9.33366339691597,-1.9764657150329834,-7.317700270320906,-32.13396055757275,-1.8852944194047547,-0.40970761188235916,-0.4752608297835366,0.0
-15.499799,83,2.072191,83.0,-46.72301763759162,25.604642006984854,28.32642638936342,0.6,-5.3,-6.824074447154995,-33.22150053977966,-13.616810287421801,-3.9289914912248887,-7.698236788398284,-32.15549092908414,-3.562745012598546,-0.22047880880523632,-0.3659948226166923,0.0
-45.710381,55,2.149435,55.0,-59.62607214620199,15.130022537896952,17.83178868695592,0.15,-3.6799999999999997,-4.342853057384492,-21.988602125644682,-8.483473652681758,-2.6840269698542767,-8.698728632036417,-22.273605609687603,-2.0448297038381864,-0.4416280575644569,-0.4857908633209026,0.0
-20.10546,59,2.226106,59.0,-42.2003200718622,17.275507709701376,18.847628173054414,0.3,-2.7199999999999998,-4.595970010757445,-25.30275518894195,-8.87444573958558,-2.2022425092751674,-5.436894626745273,-22.307840291705865,-1.8881272120332624,-0.28324221381582504,-0.3342258123026735,0.0
